Drug name,Available Drugs Ampule,Concentration,Total Solution (mL),Drug needed (ml),Solvent needed (mL)
Adrenaline (Epinephrine),1 mg/ml (1:1000),1:10,100,10,90
Adrenaline (Epinephrine),1 mg/ml (1:1000),1:10,250,25,225
Adrenaline (Epinephrine),1 mg/ml (1:1000),1:10,500,50,450
Noradrenaline (Levophed),4 mg/4 ml (1 mg/ml),4:100,100,4,96
Noradrenaline (Levophed),4 mg/4 ml (1 mg/ml),8:100,100,8,92
Noradrenaline (Levophed),4 mg/4 ml (1 mg/ml),4:250,250,4,246
Noradrenaline (Levophed),4 mg/4 ml (1 mg/ml),4:250,500,8,492
Dopamine,250 mg/10 ml (25 mg/ml) ,1:1,100,4,96
Dopamine,250 mg/10 ml (25 mg/ml) ,1:1,250,10,240
Dopamine,250 mg/10 ml (25 mg/ml) ,1:1,500,20,480
Dopamine,250 mg/10 ml (25 mg/ml) ,2:1,100,8,92
Dopamine,250 mg/10 ml (25 mg/ml) ,2:1,250,20,230
Dopamine,250 mg/10 ml (25 mg/ml) ,2:1,500,40,460
Dobutamine,250 mg/20 ml (12.5 mg/ml),1:1,100,8,92
Dobutamine,250 mg/20 ml (12.5 mg/ml),1:1,250,20,230
Dobutamine,250 mg/20 ml (12.5 mg/ml),1:1,500,40,460
Dobutamine,250 mg/20 ml (12.5 mg/ml),2:1,100,16,84
Dobutamine,250 mg/20 ml (12.5 mg/ml),2:1,250,40,210
Dobutamine,250 mg/20 ml (12.5 mg/ml),2:1,500,80,420
Nitroglycerin (NTG),50 mg/ 10 ml (5 mg/ml) ,1:1,100,20,80
Nitroglycerin (NTG),50 mg/ 10 ml (5 mg/ml) ,1:1,250,50,200
Nitroglycerin (NTG),50 mg/ 10 ml (5 mg/ml) ,1:1,500,100,400
Primacor® (Milrinone lactate),10 mg/10 ml (1 mg/ml),1:5,100,20,80
Primacor® (Milrinone lactate),10 mg/10 ml (1 mg/ml),1:5,50,10,40